areaType,areaName,areaCode,date,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate
overview,United Kingdom,K02000001,2020-09-10,14,41608
overview,United Kingdom,K02000001,2020-09-09,8,41594
overview,United Kingdom,K02000001,2020-09-08,32,41586
overview,United Kingdom,K02000001,2020-09-07,3,41554
overview,United Kingdom,K02000001,2020-09-06,2,41551
overview,United Kingdom,K02000001,2020-09-05,12,41549
overview,United Kingdom,K02000001,2020-09-04,10,41537
overview,United Kingdom,K02000001,2020-09-03,13,41527
overview,United Kingdom,K02000001,2020-09-02,10,41514
overview,United Kingdom,K02000001,2020-09-01,3,41504
overview,United Kingdom,K02000001,2020-08-31,2,41501
overview,United Kingdom,K02000001,2020-08-30,1,41499
overview,United Kingdom,K02000001,2020-08-29,12,41498
overview,United Kingdom,K02000001,2020-08-28,9,41486
overview,United Kingdom,K02000001,2020-08-27,12,41477
overview,United Kingdom,K02000001,2020-08-26,16,41465
overview,United Kingdom,K02000001,2020-08-25,16,41449
overview,United Kingdom,K02000001,2020-08-24,4,41433
overview,United Kingdom,K02000001,2020-08-23,6,41429
overview,United Kingdom,K02000001,2020-08-22,18,41423
overview,United Kingdom,K02000001,2020-08-21,2,41405
overview,United Kingdom,K02000001,2020-08-20,6,41403
overview,United Kingdom,K02000001,2020-08-19,16,41397
overview,United Kingdom,K02000001,2020-08-18,12,41381
overview,United Kingdom,K02000001,2020-08-17,3,41369
overview,United Kingdom,K02000001,2020-08-16,5,41366
overview,United Kingdom,K02000001,2020-08-15,3,41361
overview,United Kingdom,K02000001,2020-08-14,11,41358
overview,United Kingdom,K02000001,2020-08-13,18,41347
overview,United Kingdom,K02000001,2020-08-12,20,41329
overview,United Kingdom,K02000001,2020-08-11,13,41309
overview,United Kingdom,K02000001,2020-08-10,18,41296
overview,United Kingdom,K02000001,2020-08-09,5,41278
overview,United Kingdom,K02000001,2020-08-08,3,41273
overview,United Kingdom,K02000001,2020-08-07,12,41270
overview,United Kingdom,K02000001,2020-08-06,18,41258
overview,United Kingdom,K02000001,2020-08-05,14,41240
